;S
1;2.6
5;4.9
25;26.8
100;100.7
400;394.4
1000;996.3
1;2.7
5;5.5
25;25.2
100;97.7
400;396.9
1000;987.2
1;0
5;2.6
25;24.6
100;99.6
400;396
1000;992.2
1;3.7
5;2.8
25;26.8
100;105.3
400;401.2
1000;1002.4
1;0
5;5.2
25;25.5
100;97.4
400;398.2
1000;989.6
1;0.7
5;7.2
25;29.3
100;104.1
400;402.1
1000;999.7
