;S
1;0
5;7.5
25;24.7
100;95.9
400;393.2
1000;1026.8
1;0
5;11.8
25;23.8
100;98.3
400;400.8
1000;1010.9
1;0
5;6.3
25;25.7
100;96
400;396.4
1000;1006.2
1;3.6
5;5.5
25;26.2
100;96.4
400;397.4
1000;1004.9
1;0
5;6.1
25;30.4
100;99.2
400;398.4
1000;1007.8
1;1.3
5;6.9
25;27.6
100;101.7
400;401.1
1000;1001.8
