;Mg;Al;Si;S;K;Ca;Fe
5-I;0.077;0.093;0.139;;;0.155;0.108
6;;0.12;0.13;0.15;;0.21;0.14
13-I;0.185;0.124;0.139;;0.046;0.278;0.108
