;S
1;2.6
5;3.6
25;21.1
100;94.2
400;397.1
1000;1000.9
1;0.6
5;5.7
25;23.2
100;100.1
400;397.1
1000;1002.6
1;0
5;2.1
25;24.2
100;96.8
400;396.5
1000;995.7
1;0.3
5;4.4
25;21
100;102
400;394.6
1000;999.9
1;0.1
5;2.7
25;23.4
100;97.6
400;394.8
1000;1007.5
1;0.5
5;3.9
25;23
100;99.9
400;398.1
1000;1007.4
