;S
1;0
5;6.7
25;22.9
100;98.1
400;396.3
1000;1002.1
1;0
5;4.6
25;25.4
100;98
400;397.6
1000;1000.6
1;0
5;5.7
25;24.2
100;99.7
400;397.7
1000;999.8
1;2.3
5;6.9
25;24
100;102.4
400;396.3
1000;998.5
1;0
5;4.7
25;22.5
100;97.9
400;400.2
1000;1004.2
1;0
5;3.6
25;23
100;104.5
400;398.7
1000;1004.1
