;Mg;Al;Si;S;K;Ca;Fe
5-I;3.36;5.73;19.78;0.39;0.7;66.27;4.62
6;2.35;5.37;20.01;2.92;0.9;64.11;4.36
13-I;3.14;4.56;21.29;0.42;0.53;66.7;3.26
