;S
1;0.1
5;8.6
25;19.8
100;97.1
400;396.7
1000;990.7
1;0
5;9.7
25;22.3
100;97.4
400;393.2
1000;994.4
1;0
5;5.1
25;20.7
100;96
400;391.8
1000;991.4
1;0
5;3.6
25;21.7
100;94.4
400;396.7
1000;980.8
1;0
5;4.2
25;23.4
100;98.7
400;394.3
1000;973.6
1;0
5;4.3
25;24.3
100;95.1
400;389.7
1000;984.1
